theta,theta_g,time,theta_p
1.248864,1.427457374,168,1.11747248
1.165808,1.437550639,168,1.11747248
1.06904,1.10694484,168,1.11747248
1.115248,1.218598583,168,1.11747248
1.145008,1.136766487,168,1.11747248
1.134688,1.342043697,168,1.11747248
1.15016,1.265317405,168,1.11747248
1.072096,1.109333141,168,1.11747248
1.138368,1.192238746,168,1.11747248
1.165696,1.162218081,168,1.11747248
1.260288,1.403275217,168,1.11747248
1.081136,1.131455889,168,1.11747248
1.064528,1.166639909,168,1.11747248
1.111312,1.183258647,168,1.11747248
1.089568,1.05050242,168,1.11747248
1.106704,1.029593846,168,1.11747248
1.072128,1.007323294,168,1.11747248
1.241776,1.158786319,168,1.11747248
1.109472,1.208026868,168,1.11747248
1.115904,1.195202934,168,1.11747248
1.151568,1.194598177,168,1.11747248
1.09712,1.241229155,168,1.11747248
1.128224,1.217789631,168,1.11747248
1.061312,1.076092339,168,1.11747248
1.152624,1.05216623,168,1.11747248
1.062576,1.005797025,168,1.11747248
1.029008,1.046261655,168,1.11747248
1.165392,1.052292474,168,1.11747248
1.075696,1.225917408,168,1.11747248
1.137184,1.24533233,168,1.11747248
1.113648,1.173027002,168,1.11747248
1.108528,1.184971824,168,1.11747248
1.213792,1.278021064,168,1.11747248
1.078496,1.26896709,168,1.11747248
1.166592,1.116751007,168,1.11747248
1.066016,1.079677737,168,1.11747248
1.132688,1.098756396,168,1.11747248
1.0932,1.396735588,168,1.11747248
1.227696,1.262779623,168,1.11747248
1.09424,1.261317654,168,1.11747248
1.089456,1.041677534,168,1.11747248
1.211216,1.22174143,168,1.11747248
1.188912,1.392668748,168,1.11747248
1.076064,1.06515785,168,1.11747248
1.1392,1.039313299,168,1.11747248
1.203728,1.189063558,168,1.11747248
